topicID,avg_prec,prec_at_1,prec_at_10,dcg,ndcg,run_tag
401,0.06456349206349207,0,0.1,0.38685280723454163,0.38685280723454163,dir1500
402,0.6289682539682541,1,0.4,2.8333333333333335,0.9049495058460971,dir1500
403,0.7078174603174603,1,0.5,3.243059994342564,0.9105610532357876,dir1500
404,0.0,0,0.0,0.0,0.0,dir1500
405,0.1928968253968254,0,0.1,1.0,1.0,dir1500
406,0.5603571428571429,1,0.4,2.687882802898523,0.8584934873842026,dir1500
407,0.5996428571428571,1,0.7,3.236711950964459,0.7519077486825113,dir1500
408,0.5603571428571429,1,0.4,2.687882802898523,0.8584934873842026,dir1500
409,0.2928968253968254,1,0.1,1.0,1.0,dir1500
410,0.7382539682539683,1,0.4,3.1309297535714578,1.0,dir1500
411,0.5993650793650793,1,0.6,3.034308371202583,0.7684791154843581,dir1500
412,0.7634920634920634,1,0.7,3.6201311827731435,0.8409783535922071,dir1500
413,0.0,0,0.0,0.0,0.0,dir1500
414,0.2928968253968254,1,0.1,1.0,1.0,dir1500
415,0.2928968253968254,1,0.1,1.0,1.0,dir1500
416,0.0,0,0.0,0.0,0.0,dir1500
417,0.6386904761904761,1,0.4,2.931959749235439,0.9364501857286791,dir1500
418,0.7593650793650794,1,0.5,3.4463946303571866,0.967651764061914,dir1500
419,0.37746031746031744,1,0.2,1.4306765580733931,0.7153382790366966,dir1500
420,0.9354365079365079,1,0.9,4.867641704535917,0.9826741846456148,dir1500
421,0.10956349206349207,0,0.1,0.5,0.5,dir1500
422,0.38396825396825396,0,0.4,2.1895405204413554,0.6993259807070862,dir1500
423,0.0,0,0.0,0.0,0.0,dir1500
424,0.05789682539682539,0,0.2,0.6572371827720034,0.3286185913860017,dir1500
425,0.7125396825396826,1,0.7,3.522787958033084,0.8183649341490639,dir1500
426,0.306468253968254,0,0.5,2.0343083712025827,0.5711772142112702,dir1500
427,0.48579365079365083,1,0.2,2.0,1.0,dir1500
428,0.047896825396825396,0,0.1,0.3562071871080222,0.3562071871080222,dir1500
